bvp_mean,bvp_std,temp_mean,temp_std,acc_mag_mean,acc_mag_std,emotion
-0.229,12.8382,31.126,0.008,62.6925,3.7878,Bhayanaka
0.0186,5.1897,30.211,0.0118,63.0637,0.0031,Hasya
8.3005,83.0514,32.624,0.0156,63.4865,9.452,Bhayanaka
1.4813,77.9063,33.81,0.0155,64.0958,11.6544,Bhayanaka
0.0782,3.4951,31.558,0.0098,65.1498,0.1738,Shanta
4.8541,74.2105,32.538,0.0098,65.4333,5.0943,Bhayanaka
0.1827,2.6536,30.686,0.008,62.4608,0.6754,Bhayanaka
-0.0997,60.9293,34.176,0.008,63.1821,2.3986,Shanta
-0.0982,5.112,30.451,0.0118,62.9032,0.0133,Hasya
-0.3455,15.6277,34.102,0.0098,63.3677,0.1677,Hasya
-0.1042,20.0066,34.568,0.0154,62.9614,1.3632,Shanta
1.1888,15.7074,30.946,0.008,62.349,0.6314,Bhayanaka
-0.1915,7.6323,33.138,0.0098,62.7866,0.2356,Hasya
2.3782,44.7193,34.659,0.0114,63.4065,3.4588,Shanta
-0.1442,4.5141,31.443,0.0095,63.0962,0.4338,Shanta
-0.0414,4.4569,30.314,0.008,62.939,0.3333,Hasya
-0.0004,4.551,31.51,0.0,65.4341,0.3861,Shanta
-1.2035,23.1056,34.378,0.0098,63.3672,1.9827,Hasya
0.6103,36.9806,33.288,0.014,63.0781,8.3618,Bhayanaka
1.2961,29.4362,30.09,0.0126,62.7449,0.4583,Bhayanaka
0.3465,56.7627,32.43,0.0155,64.377,1.089,Bhayanaka
-0.7342,15.6281,33.11,0.0179,63.6046,0.9144,Bhayanaka
0.268,24.0712,34.95,0.0126,62.6814,0.7972,Hasya
-0.0807,11.0019,31.958,0.0098,64.4018,0.492,Hasya
-0.2104,8.2581,32.402,0.0098,62.7143,0.4197,Hasya
1.5907,25.6214,34.894,0.008,62.8938,0.3601,Shanta
0.6117,67.2036,33.495,0.005,62.8818,0.9759,Bhayanaka
2.2633,21.0734,32.826,0.0111,64.7433,0.2526,Shanta
0.1188,5.2381,33.352,0.0147,62.7876,0.1672,Hasya
